                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.35366,                0.22237,                0.80439,                0.98965,                0.98537,                0.99191,                0.83471,                0.72024,                0.31975,                 1.0445,               0.000845,               0.000845,               0.000845
                     38,                0.34769,                0.22007,                0.80309,                0.98999,                0.98335,                0.99146,                0.83315,                0.72425,                0.32614,                 1.0449,               0.000812,               0.000812,               0.000812
                     39,                0.34842,                0.22029,                0.80165,                0.98786,                0.98517,                0.99209,                0.83398,                0.72449,                0.31757,                  1.051,               0.000779,               0.000779,               0.000779
                     40,                0.34371,                0.21764,                0.80105,                0.98774,                0.98638,                0.99056,                0.83246,                0.72078,                0.31682,                  1.041,               0.000746,               0.000746,               0.000746
                     41,                0.33573,                 0.2148,                0.79867,                0.98871,                0.98486,                0.99099,                0.83448,                0.71991,                0.32021,                 1.0416,               0.000713,               0.000713,               0.000713
                     42,                0.33966,                0.21671,                0.79987,                0.98896,                0.98486,                0.99148,                0.83484,                0.71994,                0.32038,                 1.0474,                0.00068,                0.00068,                0.00068
                     43,                 0.3343,                0.21396,                 0.7984,                 0.9894,                0.98385,                0.99074,                0.83483,                0.71507,                 0.3145,                 1.0448,               0.000647,               0.000647,               0.000647
                     44,                0.32777,                0.21192,                0.79715,                0.98736,                0.98561,                0.99096,                0.83032,                0.72594,                0.32059,                 1.0483,               0.000614,               0.000614,               0.000614
                     45,                0.32492,                0.21125,                0.79711,                 0.9888,                0.98537,                0.99213,                0.83373,                0.72155,                0.31908,                 1.0458,               0.000581,               0.000581,               0.000581
                     46,                0.32685,                0.21092,                0.79842,                0.98781,                0.98587,                0.99168,                0.83466,                0.72043,                 0.3141,                 1.0512,               0.000548,               0.000548,               0.000548
                     47,                0.32552,                0.21013,                0.79734,                0.98818,                0.98587,                0.99112,                0.83419,                0.72195,                0.31976,                   1.05,               0.000515,               0.000515,               0.000515
                     48,                0.32381,                0.20975,                0.79666,                0.98835,                0.98454,                0.99107,                0.83353,                0.72106,                0.31569,                  1.049,               0.000482,               0.000482,               0.000482
                     49,                0.32708,                0.21012,                0.79804,                0.98669,                0.98486,                0.99177,                0.83458,                0.72446,                0.31623,                 1.0545,               0.000449,               0.000449,               0.000449
                     50,                 0.3178,                0.20692,                0.79695,                0.98686,                0.98526,                0.99203,                0.83544,                0.72377,                0.31622,                 1.0554,               0.000416,               0.000416,               0.000416
                     51,                0.31468,                0.20568,                0.79511,                0.98678,                0.98436,                0.99138,                0.83332,                0.72181,                0.31673,                 1.0497,               0.000383,               0.000383,               0.000383
                     52,                0.30883,                0.20284,                0.79494,                 0.9862,                0.98486,                0.99076,                0.83344,                0.72147,                0.31724,                 1.0537,                0.00035,                0.00035,                0.00035
                     53,                0.30918,                0.20309,                0.79512,                0.98773,                0.98436,                0.99065,                0.83427,                0.72262,                0.31628,                 1.0609,               0.000317,               0.000317,               0.000317
                     54,                0.30673,                 0.2018,                 0.7946,                0.98885,                0.98473,                0.99192,                0.83202,                0.72314,                 0.3173,                 1.0587,               0.000284,               0.000284,               0.000284
                     55,                0.30575,                0.20118,                0.79245,                0.98675,                0.98587,                0.99168,                 0.8335,                0.72194,                0.31648,                 1.0571,               0.000251,               0.000251,               0.000251
                     56,                0.30176,                  0.199,                0.79412,                0.99021,                0.98385,                0.99137,                0.83486,                0.72134,                0.31454,                 1.0575,               0.000218,               0.000218,               0.000218
                     57,                0.30132,                0.19831,                0.79263,                0.98653,                0.98486,                0.99077,                0.83607,                0.72226,                0.31528,                 1.0549,               0.000185,               0.000185,               0.000185
                     58,                0.30172,                0.19805,                0.79295,                0.98787,                 0.9858,                0.99093,                0.83552,                 0.7188,                0.31183,                 1.0566,               0.000152,               0.000152,               0.000152
                     59,                0.29752,                0.19671,                0.79219,                0.98737,                0.98582,                 0.9917,                0.83567,                0.71677,                0.30936,                 1.0537,               0.000119,               0.000119,               0.000119
                     60,                0.29427,                0.19487,                0.79196,                0.99015,                0.98537,                0.99153,                0.83493,                0.71785,                0.31292,                 1.0561,                8.6e-05,                8.6e-05,                8.6e-05
