(pi515) D:\pi515\yolo_tracking>python examples/track.py --source ../sheeps_30sec.mp4 --yolo-model ../FEB29/weights/yolov8_best.pt --save

2024-03-02 23:55:30.832 | SUCCESS  | boxmot.appearance.reid_model_factory:load_pretrained_weights:207 - Successfully loaded pretrained weights from "D:\pi515\yolo_tracking\examples\weights\osnet_x0_25_msmt17.pt"
video 1/1 (51/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 27 sheeps, 313.0ms
video 1/1 (52/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 27 sheeps, 297.3ms
video 1/1 (53/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 27 sheeps, 329.1ms
video 1/1 (54/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 28 sheeps, 297.1ms
video 1/1 (55/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 28 sheeps, 281.3ms
video 1/1 (56/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 28 sheeps, 297.8ms
video 1/1 (57/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 28 sheeps, 297.0ms
video 1/1 (58/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 28 sheeps, 313.3ms
video 1/1 (59/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 28 sheeps, 314.3ms
video 1/1 (60/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 28 sheeps, 297.3ms
video 1/1 (61/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 28 sheeps, 296.8ms
video 1/1 (62/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 28 sheeps, 296.6ms
video 1/1 (63/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 27 sheeps, 297.7ms
video 1/1 (64/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 27 sheeps, 291.0ms
video 1/1 (65/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 27 sheeps, 281.7ms
video 1/1 (66/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 27 sheeps, 266.5ms
video 1/1 (67/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 27 sheeps, 297.8ms
video 1/1 (68/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 26 sheeps, 314.5ms
video 1/1 (69/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 27 sheeps, 296.8ms
video 1/1 (70/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 27 sheeps, 312.0ms
video 1/1 (71/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 26 sheeps, 311.2ms
video 1/1 (72/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 26 sheeps, 281.3ms
video 1/1 (73/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 26 sheeps, 300.1ms
video 1/1 (74/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 26 sheeps, 303.8ms
video 1/1 (75/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 27 sheeps, 296.6ms
video 1/1 (76/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 27 sheeps, 312.4ms
video 1/1 (77/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 28 sheeps, 250.3ms
video 1/1 (78/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 28 sheeps, 281.2ms
video 1/1 (79/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 28 sheeps, 313.0ms
video 1/1 (80/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 28 sheeps, 297.0ms
video 1/1 (81/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 29 sheeps, 298.9ms
video 1/1 (82/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 29 sheeps, 313.6ms
video 1/1 (83/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 28 sheeps, 297.9ms
video 1/1 (84/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 28 sheeps, 297.2ms
video 1/1 (85/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 27 sheeps, 297.0ms
video 1/1 (86/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 28 sheeps, 338.7ms
video 1/1 (87/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 28 sheeps, 311.7ms
video 1/1 (88/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 28 sheeps, 315.1ms
video 1/1 (89/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 28 sheeps, 297.6ms
video 1/1 (90/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 28 sheeps, 313.4ms
video 1/1 (91/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 27 sheeps, 296.8ms
video 1/1 (92/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 27 sheeps, 314.1ms
video 1/1 (93/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 27 sheeps, 296.7ms
video 1/1 (94/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 28 sheeps, 298.4ms
video 1/1 (95/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 29 sheeps, 297.9ms
video 1/1 (96/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 28 sheeps, 297.6ms
video 1/1 (97/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 29 sheeps, 282.4ms
video 1/1 (98/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 28 sheeps, 311.6ms
video 1/1 (99/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 28 sheeps, 280.0ms
video 1/1 (100/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 28 sheeps, 360.5ms
video 1/1 (101/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 29 sheeps, 293.2ms
video 1/1 (102/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 29 sheeps, 282.2ms
video 1/1 (103/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 29 sheeps, 313.8ms
video 1/1 (104/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 29 sheeps, 312.8ms
video 1/1 (105/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 29 sheeps, 313.1ms
video 1/1 (106/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 29 sheeps, 313.1ms
video 1/1 (107/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 29 sheeps, 282.5ms
