                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.45202,                0.26388,                0.82628,                 0.9909,                0.99193,                0.99418,                0.83148,                 0.7411,                0.31752,                 1.0282,              0.0011585,              0.0011585,              0.0011585
                     37,                0.45069,                0.26284,                0.82964,                0.99293,                0.99149,                0.99401,                0.83096,                0.73215,                0.31637,                 1.0427,              0.0011337,              0.0011337,              0.0011337
                     38,                 0.4444,                0.25996,                0.82633,                0.99143,                0.99161,                0.99418,                0.82564,                0.72903,                0.32156,                  1.037,               0.001109,               0.001109,               0.001109
                     39,                0.44314,                 0.2588,                0.82822,                0.99327,                0.99294,                0.99428,                0.83655,                0.73306,                 0.3171,                 1.0471,              0.0010842,              0.0010842,              0.0010842
                     40,                0.44154,                0.25897,                0.82619,                0.99227,                0.99143,                0.99421,                0.83537,                 0.7279,                 0.3179,                 1.0413,              0.0010595,              0.0010595,              0.0010595
                     41,                0.43865,                0.25764,                0.82579,                0.99223,                0.99092,                0.99421,                0.83933,                0.72159,                0.31872,                 1.0333,              0.0010347,              0.0010347,              0.0010347
                     42,                0.43772,                0.25655,                0.82435,                0.99114,                0.99193,                0.99421,                0.83106,                0.73283,                0.31564,                 1.0391,                0.00101,                0.00101,                0.00101
                     43,                0.43127,                0.25439,                0.82381,                0.99257,                0.99143,                0.99418,                0.83656,                0.72903,                0.31456,                 1.0433,             0.00098525,             0.00098525,             0.00098525
                     44,                 0.4246,                0.25246,                0.82313,                0.99393,                0.99164,                0.99393,                0.83612,                0.72454,                0.31446,                 1.0389,              0.0009605,              0.0009605,              0.0009605
                     45,                0.42946,                0.25381,                0.82374,                0.99268,                0.99193,                0.99439,                0.83667,                0.72231,                0.31634,                 1.0341,             0.00093575,             0.00093575,             0.00093575
                     46,                0.42456,                0.25139,                0.82269,                0.99192,                0.99104,                0.99394,                0.83828,                0.72927,                0.31233,                 1.0431,               0.000911,               0.000911,               0.000911
                     47,                0.42162,                0.25038,                0.82009,                0.99362,                0.99193,                0.99405,                0.83554,                 0.7241,                0.31387,                 1.0361,             0.00088625,             0.00088625,             0.00088625
                     48,                0.42253,                0.25012,                0.82181,                 0.9924,                0.99193,                0.99401,                0.83713,                0.72123,                0.30895,                 1.0333,              0.0008615,              0.0008615,              0.0008615
                     49,                0.42165,                0.24978,                0.82136,                0.99168,                0.99294,                0.99406,                0.83597,                0.71975,                0.30921,                 1.0361,             0.00083675,             0.00083675,             0.00083675
                     50,                0.41372,                0.24579,                0.82154,                 0.9929,                0.99193,                0.99439,                0.83682,                0.72353,                0.31493,                 1.0345,               0.000812,               0.000812,               0.000812
